filename,codeNumber,codeName,shape,colorFamily,size,trimming
WhatsApp Image 2025-10-10 at 6.48.01 PM.jpeg,"LD 825301","LIME WASH","Stone","Lime Wash","5/0.5mm x 300m. x 600mm","S14"
WhatsApp Image 2025-10-10 at 6.48.33 PM.jpeg,"5301","","","","",""
WhatsApp Image 2025-10-10 at 6.48.57 PM.jpeg,"LD 825302","CEMENT GREY","","Grey","5/0.5mm x 300m. x 600mm","S14"
WhatsApp Image 2025-10-10 at 6.49.25 PM.jpeg,"825302","","","","",""
WhatsApp Image 2025-10-10 at 6.49.26 PM.jpeg,"5302","","","","",""
WhatsApp Image 2025-10-10 at 6.49.45 PM.jpeg,"LD 825306","MOVAL","","","5/0.5mm x 300m. x 600mm","S13"
WhatsApp Image 2025-10-10 at 6.50.51 PM (1).jpeg,"LD 5306","","","","",""
WhatsApp Image 2025-10-10 at 6.50.51 PM.jpeg,"LD 5306","","","","",""
WhatsApp Image 2025-10-10 at 6.51.36 PM.jpeg,"LD 2805 rt","Fo ai","","","",""
WhatsApp Image 2025-10-10 at 6.55.40 PM.jpeg,"2805","","","","",""
WhatsApp Image 2025-10-10 at 6.56.17 PM.jpeg,"2805","","","","",""
WhatsApp Image 2025-10-10 at 6.57.05 PM.jpeg,"LD 2806",":","","","",""
WhatsApp Image 2025-10-10 at 6.57.48 PM.jpeg,"LD 2806","","","","",""
WhatsApp Image 2025-10-10 at 6.59.43 PM.jpeg,"LD 825328 Fe",";","","","","S14"
WhatsApp Image 2025-10-10 at 7.02.21 PM.jpeg,"6745","","","","",""
WhatsApp Image 2025-10-10 at 7.04.55 PM (1).jpeg,"LD 2801","","","","",""
WhatsApp Image 2025-10-10 at 7.04.55 PM.jpeg,"LD2801","","","","",""
WhatsApp Image 2025-10-10 at 7.04.56 PM.jpeg,"LD 2801","LIGHT GREY","","Light Grey","",""
WhatsApp Image 2025-10-10 at 7.05.46 PM.jpeg,"LD 2804","3","","","",""
WhatsApp Image 2025-10-10 at 7.10.38 PM (2).jpeg,"LD 2803 4 $8 AY","3g gh PE ER CAN","","","","SR"
WhatsApp Image 2025-10-10 at 7.11.18 PM (1).jpeg,"LD 2802","IVORY OAK","","Oak","",""
WhatsApp Image 2025-10-10 at 7.13.33 PM.jpeg,"LD 825201","FROST WHITE","","White","","SO1"
WhatsApp Image 2025-10-10 at 7.13.48 PM.jpeg,"5201","","","","",""
WhatsApp Image 2025-10-10 at 7.13.49 PM (1).jpeg,"5201","","","","",""
WhatsApp Image 2025-10-10 at 7.13.49 PM.jpeg,"5201","","","","",""
WhatsApp Image 2025-10-10 at 7.47.02 PM.jpeg,"LD 825203","VICTORIAN ASH","","","","S07"
WhatsApp Image 2025-10-10 at 7.48.38 PM.jpeg,"5203","","","","",""
WhatsApp Image 2025-10-10 at 7.49.02 PM.jpeg,"LD 825205","CREEK OAK","","Oak","","S08"
WhatsApp Image 2025-10-10 at 7.49.22 PM.jpeg,"5205","","","","",""
WhatsApp Image 2025-10-10 at 7.49.59 PM.jpeg,"LD 825210","VANILA OAK","","Oak","","SO1"
WhatsApp Image 2025-10-10 at 7.51.05 PM (1).jpeg,"5210","","","","",""
WhatsApp Image 2025-10-10 at 7.51.28 PM.jpeg,"LD 825102","WHITE","","White","","S05"
WhatsApp Image 2025-10-10 at 7.52.25 PM.jpeg,"LD 825103","EURO OAK","","Oak","","S03"
WhatsApp Image 2025-10-10 at 7.52.37 PM.jpeg,"51031","","","","",""
WhatsApp Image 2025-10-10 at 7.53.00 PM.jpeg,"LD 825104","AMERICAN","","","","S04"
WhatsApp Image 2025-10-10 at 7.53.17 PM (1).jpeg,"5104","","","","",""
WhatsApp Image 2025-10-10 at 7.53.17 PM.jpeg,"5104","","","","",""
WhatsApp Image 2025-10-10 at 7.53.40 PM.jpeg,"LD 825105","GOLDEN TEAK","","","","S04"
WhatsApp Image 2025-10-10 at 7.53.56 PM.jpeg,"5105","","","","",""
WhatsApp Image 2025-10-10 at 7.55.20 PM.jpeg,"LD 825106","WARM","","","","S05"
WhatsApp Image 2025-10-10 at 7.57.53 PM.jpeg,"LD 825107","SIENNA OAK","","Oak","","S06"
WhatsApp Image 2025-10-10 at 8.00.51 PM.jpeg,"LD 825109","EURO MAPLE","","","","S02"
